id:300044	 C语言程序设计
id:300045	 军事训练
id:300049	 形势与政策
id:300050	 军事理论
id:300137	 C语言程序设计
id:300138	 军事训练
id:300139	 中国近现代史纲要
id:300141	 军事理论
id:300228	 C语言程序设计
id:300229	 军事训练
id:300322	 形势与政策
id:300323	 军事理论
id:300412	 C语言程序设计
id:300413	 军事训练
id:300415	 形势与政策
id:300417	 军事理论
id:300503	 C语言程序设计
id:300504	 军事训练
id:300631	 中国近现代史纲要
id:300638	 中国近现代史纲要
id:300643	 中国近现代史纲要
id:300644	 中国近现代史纲要
id:300646	 思想道德修养与法律基础
id:300647	 思想道德修养与法律基础
id:300648	 思想道德修养与法律基础
id:300649	 思想道德修养与法律基础
id:300650	 思想道德修养与法律基础
id:300651	 思想道德修养与法律基础
id:300652	 思想道德修养与法律基础
id:300653	 思想道德修养与法律基础
id:300654	 思想道德修养与法律基础
id:300655	 思想道德修养与法律基础
id:300656	 思想道德修养与法律基础
id:300657	 思想道德修养与法律基础
id:300658	 中国近现代史纲要
id:300662	 中国近现代史纲要
id:300667	 中国近现代史纲要
id:300668	 中国近现代史纲要
id:300670	 中国近现代史纲要
id:300674	 中国近现代史纲要
id:300676	 中国近现代史纲要
id:300683	 思想道德修养与法律基础
id:300688	 思想道德修养与法律基础
id:300690	 思想道德修养与法律基础
id:300696	 思想道德修养与法律基础
id:300705	 中国近现代史纲要
id:300710	 中国近现代史纲要
id:300713	 中国近现代史纲要
id:300715	 中国近现代史纲要
id:300716	 中国近现代史纲要
id:300726	 中国近现代史纲要
id:300728	 社会科学研究中量化方法： 技术与应用
id:300729	 公共管理专业导论
id:300730	 毛泽东思想和中国特色社会主义理论体系概论
id:300734	 毛泽东思想和中国特色社会主义理论体系概论
id:300736	 毛泽东思想和中国特色社会主义理论体系概论
id:300737	 社会科学研究中量化方法： 技术与应用
id:300738	 技术与创业管理
id:300739	 电子商务创新发展
id:300750	 马克思主义基本原理概论
id:300759	 军事训练
id:300760	 综合英语
id:300762	 数学分析I（含常微分方程）
id:300763	 线性代数与空间解析几何
id:300765	 综合英语
id:300768	 形势与政策
id:300769	 军事理论
id:300819	 数学（文）
id:300821	 日常英语交流 I
id:300822	 英语基础写作
id:300823	 英语语音与配音
id:300824	 走进语言世界
id:300828	 军事训练
id:300834	 英文文法I
id:300888	 综合日语I
id:300889	 日语语音
id:300890	 日语基础听说Ⅰ
id:300891	 专业导学
id:300894	 军事训练
id:300950	 法语精读I
id:300953	 军事训练
id:300955	 浪漫法语
id:301009	 英语基础写作
id:301010	 英语语音与配音
id:301011	 日常英语交流 I
id:301023	 军事训练
id:301024	 英文文法I
id:301025	 电子商务创新发展
id:301053	 大学物理实验 I
id:301060	 大学物理实验 I
id:301074	 数据库原理及应用
id:301076	 马克思主义基本原理概论
id:301077	 数学文化
id:301092	 大学物理实验 I
id:301106	 大学物理实验 I
id:301113	 大学物理实验 I
id:301115	 FPGA硬件设计
id:301116	 电子技术实验基础 II
id:301119	 电子技术实验基础 II
id:301120	 电子技术实验基础 II
